Year,Partner,Commodity Code,Commodity,Netweight (kg),Trade Value (US$),Price per Ton(US$)
2017,Denmark,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2013663,3894238,1933.90751
2017,Dominica,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",6427,11252,1750.73907
2017,Dominican Rep.,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1934890,2684674,1387.50730
2017,Ecuador,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",3533739,4928589,1394.72355
2017,El Salvador,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",764020,969658,1269.15264
2017,Equatorial Guinea,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",53016,141720,2673.15527
2017,Ethiopia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1501802,3861346,2571.14187
2017,Eritrea,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",27453,172465,6282.19138
2017,Estonia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",486132,1016047,2090.06402
2017,Fiji,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",580236,905339,1560.29443
2017,Finland,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2333311,3807762,1631.91362
2017,France,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",9634778,17434698,1809.55887
2017,French Polynesia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",17436,28418,1629.84630
2017,Djibouti,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2466716,6986152,2832.16714
2017,Gabon,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",89167,247710,2778.04569
2017,Georgia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1576470,3478219,2206.33377
2017,Gambia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",165086,231818,1404.22568
2017,State of Palestine,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",18160,22946,1263.54626
2017,Germany,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",47715760,69391739,1454.27295
2017,Ghana,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1518464,2747983,1809.71231
2017,Gibraltar,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",30,684,22800.00000
2017,Kiribati,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",246,53,215.44715
2017,Greece,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",3710428,4607288,1241.71335
2017,Grenada,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1822,3010,1652.03074
2017,Guatemala,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1834216,2300124,1254.00934
2017,Guinea,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",571922,1335090,2334.39175
2017,Guyana,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",479250,647572,1351.21961
2017,Haiti,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",96207,175340,1822.52851
2017,Honduras,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1182654,1644984,1390.92583
2017,"China, Hong Kong SAR",731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",21714782,93127589,4288.67253
2017,Hungary,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1474576,3656608,2479.76910
2017,Iceland,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",39825,74787,1877.89077
2017,Indonesia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",17805961,31417531,1764.43894
2017,Iran,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",17989063,34166749,1899.30676
2017,Iraq,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",7010547,16933630,2415.45061
2017,Ireland,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",942203,2587617,2746.34766
2017,Israel,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",9931172,15050359,1515.46655
2017,Italy,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",22109835,35900986,1623.75640
2017,Côte d'Ivoire,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",894231,1902282,2127.28255
2017,Jamaica,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",223996,423482,1890.57840
2017,Japan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",76615085,135443485,1767.84357
2017,Kazakhstan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",8451062,21265333,2516.29121
2017,Jordan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2135040,4709333,2205.73526
2017,Kenya,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",3930673,7088205,1803.30569
2017,Dem. People's Rep. of Korea,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1839015,3463460,1883.32341
2017,Rep. of Korea,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",43714930,69466005,1589.06820
2017,Kuwait,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2526114,3758846,1487.99540
2017,Kyrgyzstan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",831110,1757547,2114.69842
2017,Lao People's Dem. Rep.,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1894954,2895050,1527.76796
2017,Lebanon,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2548664,3706627,1454.34118
2017,Lesotho,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1438,3958,2752.43394
2017,Latvia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1135913,1485713,1307.94612
2017,Liberia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",68365,284918,4167.60038
2017,Libya,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",276640,924734,3342.73424
2017,Lithuania,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",4172888,5182903,1242.04220
2017,Luxembourg,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",9727,15658,1609.74607
2017,"China, Macao SAR",731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",631491,1537779,2435.15585
2017,Madagascar,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",679879,1068576,1571.71497
2017,Malawi,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",102244,150995,1476.81038
2017,Malaysia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",23759856,46412667,1953.40691
2017,Maldives,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",188689,394296,2089.66076
2017,Mali,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",208242,430950,2069.46725
2017,Malta,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",104522,284459,2721.52274
2017,Mauritania,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",178905,534580,2988.06629
2017,Mauritius,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",454232,973632,2143.46854
2017,Mexico,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",34166479,56243721,1646.16673
2017,"Other Asia, nes",731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1448141,5103150,3523.93172
2017,Mongolia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",435913,989395,2269.70749
2017,Rep. of Moldova,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",10957,18748,1711.05230
2017,Montenegro,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",189451,284983,1504.25704
2017,Morocco,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1549927,2977902,1921.31758
2017,Mozambique,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",559827,1016561,1815.84847
2017,Oman,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1546294,2859268,1849.11020
2017,Namibia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",70588,217898,3086.89862
2017,Nauru,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",50,35,700.00000
2017,Nepal,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",148967,307032,2061.07393
2017,Netherlands,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",29087727,44872512,1542.66134
2017,Curaçao,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2011,11716,5825.95724
2017,Aruba,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",25281,46327,1832.48289
2017,New Caledonia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",38554,57410,1489.08025
2017,Vanuatu,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",29783,70158,2355.63912
2017,New Zealand,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",5747661,12264989,2133.90960
2017,Nicaragua,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",918154,1148170,1250.52007
2017,Niger,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",13689,53360,3898.02031
2017,Nigeria,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",9268461,10950261,1181.45407
2017,"Other Africa, nes",731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",4,11,2750.00000
2017,Norway,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",4894849,8225335,1680.40628
2017,FS Micronesia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",3517,1990,565.82314
2017,Marshall Isds,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",893,3063,3430.01120
2017,Palau,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",7205,23717,3291.74185
2017,Pakistan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",8333437,19798480,2375.78805
2017,Panama,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2830861,4211239,1487.61772
2017,Papua New Guinea,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",383769,1058464,2758.07582
2017,Paraguay,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",456951,736056,1610.79853
2017,Peru,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",8990525,10313870,1147.19330
2017,Philippines,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",16829719,29452053,1750.00266
2017,Poland,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",23267190,29088096,1250.17658
2017,Portugal,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",4643073,5510271,1186.77242
2017,Guinea-Bissau,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1653,2530,1530.55051
2017,Timor-Leste,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",83421,167902,2012.70663
2017,Qatar,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2397039,3527347,1471.54343
2017,Romania,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",4261825,6050787,1419.76430
2017,Russian Federation,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",95040248,113924249,1198.69478
2017,Rwanda,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",70806,132685,1873.92311
2017,Saint Kitts and Nevis,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",899,6160,6852.05784
2017,Saint Vincent and the Grenadines,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",33,46,1393.93939
2017,Sao Tome and Principe,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",6198,18871,3044.69184
2017,Saudi Arabia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",26824612,39360301,1467.32042
2017,Senegal,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1469809,4251423,2892.50032
2017,Serbia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1665940,1821253,1093.22845
2017,Seychelles,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",7920,18252,2304.54545
2017,Sierra Leone,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",38564,108536,2814.43834
2017,India,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",26903287,61043160,2268.98520
2017,Singapore,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",23673186,51889655,2191.91684
2017,Slovakia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1926561,3660197,1899.86042
2017,Viet Nam,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",30222701,68054860,2251.77955
2017,Slovenia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2380012,2986555,1254.84872
2017,Somalia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",114523,170684,1490.39058
2017,South Africa,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",20312874,27189547,1338.53767
2017,Zimbabwe,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",593691,1245927,2098.61190
2017,Spain,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",24324712,34695772,1426.35900
2017,South Sudan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",16825,57272,3403.98217
2017,Sudan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1980160,4992852,2521.43867
2017,Suriname,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",154090,436765,2834.47985
2017,Eswatini,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",209,1140,5454.54545
2017,Sweden,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",5527507,9246780,1672.86627
2017,Switzerland,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",1503349,2946398,1959.88955
2017,Syria,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2768249,4076914,1472.74107
2017,Tajikistan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",716003,2291980,3201.07597
2017,Thailand,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",21911005,44289690,2021.34453
2017,Togo,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",104508,245546,2349.54262
2017,Tonga,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",591,2686,4544.83926
2017,Trinidad and Tobago,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",553739,903751,1632.08840
2017,United Arab Emirates,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",36660108,56886680,1551.73247
2017,Tunisia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2387733,3629090,1519.88937
2017,Turkey,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",8714645,15378071,1764.62392
2017,Turkmenistan,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",134424,241800,1798.78593
2017,Tuvalu,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",520,1320,2538.46154
2017,Uganda,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",979719,1355548,1383.60897
2017,Ukraine,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",14946400,17731796,1186.35899
2017,North Macedonia,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",340713,471043,1382.52136
2017,Egypt,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",19700539,26180289,1328.91232
2017,United Kingdom,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",28818970,50156103,1740.38500
2017,United Rep. of Tanzania,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",2877130,4614462,1603.84202
2017,USA,731815,"Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",309178990,483557131,1564.00385
